titulo,preco_diaria,localizacao,link
"CASA COM PISCINA GUARUJÁ PRAIA PERNAMBUCO,MAR CASADO",R$ 1.000,Casa em Guarujá / Praia do Pernambuco,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/praia-do-pernambuco/143723-casa-com-piscina-guaruja-praia-pernambuco-mar-casado
PITANGUEIRAS COM VISTA PARA O MAR SERV. DE PRAIA WI-FI 600 MEGAS,R$ 275,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/95761-pitangueiras-com-vista-para-o-mar-serv-de-praia-wi-fi-600-megas
"Top
                
              APARTAMENTO PRAIA DA ASTURIAS - GUARUJÁ",R$ 400,Apartamento em Guarujá / Astúrias,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/asturias/137018-apartamento-praia-da-asturias-guaruja
FLAT NO GUARUJÁ A 70M DA PRAIA. O MELHOR DE PITANGUEIRAS.,R$ 500,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/26491-flat-no-guaruja-a-70m-da-praia-o-melhor-de-pitangueiras
"PERTINHO DA PRAIA - 2 QUADRAS - AP AMPLO, 3 QUARTOS, WI-FI E GARAGEM",R$ 399,Apartamento em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/128349-pertinho-da-praia-2-quadras-ap-amplo-3-quartos-wi-fi-e-garagem
APARTAMENTO 1 DORMITÓRIO - PITANGUEIRAS - GUARUJÁ - SP,R$ 250,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/51392-apartamento-1-dormitorio-pitangueiras-guaruja-sp
"APTO FRENTE TOTAL MAR EM ASTÚRIAS COM VARANDA GOURMET, LAZER E 2 VAGAS",R$ 1.100,Apartamento em Guarujá / Astúrias,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/asturias/117636-apto-frente-total-mar-em-asturias-com-varanda-gourmet-lazer-e-2-vagas
CASA COM PISCINA NA PRAIA ENSEADA GUARUJA,R$ 1.500,Casa em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/151249-casa-com-piscina-na-praia-enseada-guaruja
GUARUJÁ PITANGUEIRAS 3DORM(1SUÍTE) 2VAGAS 6 PESSOAS AR COND TUDO PERTO,R$ 450,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/56002-guaruja-pitangueiras-3dorm-1suite-2vagas-6-pessoas-ar-cond-tudo-perto
LINDA CASA 2 ANDARES C/ PISCINA E CHURRASQUEIRA,R$ 1.000,Casa em Guarujá / Jardim Virgínia,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/jardim-virginia/99986-linda-casa-2-andares-c-piscina-e-churrasqueira
✨APARTAMENTO À BEIRA-MAR NO GUARUJÁ ✨,R$ 600,Apartamento em Guarujá / Astúrias,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/asturias/106600-apartamento-a-beira-mar-no-guaruja
APARTAMENTO 6 PESSOAS 200M DA PRAIA ENSEADA - GUARUJÁ,R$ 400,Apartamento em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/117784-apartamento-6-pessoas-200m-da-praia-enseada-guaruja
APARTAMENTO EM CONDOMÍNIO HORIZONTAL FRENTE PARA O MAR,R$ 600,Apartamento em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/66947-apartamento-em-condominio-horizontal-frente-para-o-mar
"APTO 3 QUARTOS, SALA COM SACADA, 2 VAGAS, 50 M DO MAR",R$ 500,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/124893-apto-3-quartos-sala-com-sacada-2-vagas-50-m-do-mar
APARTAMENTO NA QUADRA DA PRAIA DAS PITANGUEIRAS - AR COND - 6 PESSOAS,R$ 700,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/143452-apartamento-na-quadra-da-praia-das-pitangueiras-ar-cond-6-pessoas
"2 DORM. PITANGUEIRAS GUARUJÁ C/ AR, VISTA P/ O MAR, WI-FI, FERRARETTO",R$ 33,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/115230-2-dorm-pitangueiras-guaruja-c-ar-vista-p-o-mar-wi-fi-ferraretto
ÓTIMA KITNET PÉ NA AREIA NA PRAIA DE PITANGUEIRAS C/ VISTA PARA O MAR.,R$ 180,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/116725-otima-kitnet-pe-na-areia-na-praia-de-pitangueiras-c-vista-para-o-mar
"Top
                
              CASA GUARUJÁ ENSEADA COM PISCINA",R$ 1.000,Casa em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/93265-casa-guaruja-enseada-com-piscina
"1 DORM. PÉ NA AREIA! PITANGUEIRAS GUARUJÁ, HYDRO JACUZZI, WI-FI",R$ 33,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/128223-1-dorm-pe-na-areia-pitangueiras-guaruja-hydro-jacuzzi-wi-fi
"PRAIA DE PITANGUEIRAS PRA 8 PESSOAS 4 QUARTOS 1 VG,TELAS DE PROTEÇÃO",R$ 500,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/152669-praia-de-pitangueiras-pra-8-pessoas-4-quartos-1-vg-telas-de-protecao
APTO CONFORTAVEL NO GUARUJA ACOMODA 10 PESSOAS,R$ 400,Apartamento em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/93890-apto-confortavel-no-guaruja-acomoda-10-pessoas
APARTAMENTO PITANGUEIRAS GUARUJÁ,R$ A consultar,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/35430-apartamento-pitangueiras-guaruja
"PITANGUEIRAS VISTA MAR, 3 QUARTOS, 10 PESS, 1 VG, WI FI, 30 M DO MAR",R$ 750,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/44507-pitangueiras-vista-mar-3-quartos-10-pess-1-vg-wi-fi-30-m-do-mar
"LINDA CASA NO GUARUJÁ COM PISCINA, AREA GOURMET E WI-FI",R$ 600,Casa em Guarujá / Praia do Pernambuco,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/praia-do-pernambuco/72703-linda-casa-no-guaruja-com-piscina-area-gourmet-e-wi-fi
CASA ALTO PADRÃO PRAIA DO PERNAMBUCO ÓTIMA OPÇÃO P PASSAR A QUARENTENA,R$ 850,Casa em Guarujá / Praia do Pernambuco,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/praia-do-pernambuco/76598-casa-alto-padrao-praia-do-pernambuco-otima-opcao-p-passar-a-quarentena
CASA DE PRAIA ENSEADA GUARUJÁ 500 M DA PRAIA,R$ 600,Casa em Guarujá / Jardim Virginia Praia da Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/jardim-virginia-praia-da-enseada/144010-casa-de-praia-enseada-guaruja-500-m-da-praia
"CASA 4 SUITES LOCAL NOBRE, 1 QUADRA DO MAR. PRAIA DA ENSEADA",R$ 1.500,Casa em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/19929-casa-4-suites-local-nobre-1-quadra-do-mar-praia-da-enseada
PITANGUEIRAS FRENTE MAR COM PISCINA E DUAS VAGAS DE GARAGEM,R$ 700,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/149950-pitangueiras-frente-mar-com-piscina-e-duas-vagas-de-garagem
"Top
                
              APARTAMENTO EM GUARUJÁ PRAIA PITANGUEIRAS 1 QUARTO, 2 QUADRAS DA PRAIA",R$ 250,Apartamento em Guarujá / Pitangueiras,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/pitangueiras/23754-apartamento-em-guaruja-praia-pitangueiras-1-quarto-2-quadras-da-praia
"CASA ENSEADA 100 M DA PRAIA, LOCAL NOBRE 6 QUARTOS, 20 PESS, PISCINA",R$ 1.000,Casa em Guarujá / Enseada,https://www.temporadalivre.com/aluguel-temporada/brasil/sao-paulo/guaruja/enseada/141372-casa-enseada-100-m-da-praia-local-nobre-6-quartos-20-pess-piscina
